"Automatically Generate Disposition Script based on the IVR Menu Selections of the Customer","In the current Uniconnect System, The Inbound disposition Script is based on a Persistent configuration. The new idea suggests to make it dynamic based on the IVR option selections of the caller(Customer).","simsyn","1","0"
"Invite Other Systems Like 3CX","Enable plugins for other systems like 3CX to connect with Uniconnect. The customer should be able to connect with uniconnect without any dipendancies.","Chamilka","3","2"
"Visually call categorisation","Incoming call groups or individuals are presented with different colors in order to identify them separately for the agent.","Pramuditha","1","0"
"Based on status of campaign, automatically trigger sms, IVR and emails","As an example, when running a campaign, if the customer doesn't answer the call, it triggers an sms, IVR, or email.","Pramuditha","1","2"
"Transcript or voice recording of a call shared with the customer end as a proof","Since calls don't have proof like emails, transcripts, and voice recordings of a call are taken as proof.","Pramuditha","1","2"
"Checking the stability of connection","Results can be shown in real-time. Then an agent or supervisor can get appropriate actions","Pramuditha","1","2"
"Automating Campaign Management","1.Scheduled Campaigns: Implement functionality to automatically start and stop campaigns at specific times.\
\
2.Reschedule Campaigns: Automatically reschedule unreachable or unanswered numbers from completed campaigns.\
\
3.Campaign Prioritization: When a campaign is marked as high priority, stop other campaigns assigned to the same agent or queue and prioritize the high-priority campaign. Resume the stopped campaigns once the high-priority campaign is finished.\
\
4.Extend Campaign Time: Add conditions to extend campaign duration if there are still numbers left to dial when the campaign is about to end.\
\
5.Calendar-Based Campaigns: Admin can set events in the calendar, which automatically triggers the start and stop of campaigns at specified times.\
\
6.Rules and Triggers: Automatically start or stop campaigns based on agent or queue availability.\
\
7.Alerts: Send notifications to agents when a campaign starts or is about to stop.","Asik","1","2"
"Add a calendar to uniconnect","* User can find out all the schedule campaign start date and time and end date and time in the calamity \
* follow ups need to added in calendar\
* calendar need to be maintain based on users and also based on organization \
* and also need to get the SLA time for the tickets in calendar as a deadline of each ticket \
*","Nimnadi","1","2"
"Maintain day off ( leave ) and half day leave in system and a report for that","* users can request a leave or half day in the system from the responsible users \
* need to maintain a separate status or current in the system they can customize own status so they can do it by their own \
* and system need to get a report for attendance cuz if it is a large company it getting easy end of the month if they can generate a attendance report fro finance and check the user availability \
* because we getting a report need to decide to get this attendance status going to be maintains as a  mandatory as a available status or going to capture this as a separate status \
\
*","Nimnadi","1","2"
"Identifying the SIP response codes","If we can add \"SIP response codes\" based reports (especially to Dialers)  it will help to have more visibility and the nature of calls deeply (inbound and outbound).","Kalana","1","2"
"Assist other Agents Remotly (Like Screen share)","If someone can assist another person remotly without installing any application, That helps them resolve the following\
1. Resolving day today's runtime issues\
2. Trainings \
\
ETC","Kalana","1","2"
"Mobile Number analysis","feature to give agents about the mobile number.\
\
01) usually call answer time\
02) Customer Behavior\
03) what are the interests\
04) what are the companies dealing with customer","Chamilka","1","0"
"Super Administrator Account","This should be system's default user account with all the access. and others should unable to change or delete this account. system critical feature access should be available only for this user.\
\
like\
\
system permissions.\
feature management.","Chamilka","1","2"
"Transparency","should be a way to find who did this and what is the user do in the system.","Chamilka","1","2"
"Test Idea decline","Test Idea decline","Manoj","1","2"
